Trinity_ID	CrabA_0	CrabA_2	CrabA_17	cluster	V2.x	uniprot_acc_ID	V4.x	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	V2.y	V3	V4.y	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
TRINITY_DN8362_c0_g1_i2	54	65	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1413_c1_g1_i4	0	0	2050	2	sp	Q2QPW1	GMK1_ORYSJ	47.3	203	102	2	50	658	128	325	3.4e-47	191.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8499_c0_g1_i2	1	2	57	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12910_c0_g1_i2	0	0	6194	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2171_c0_g1_i7	146	198	38	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN23857_c0_g1_i1	85	62	1027	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN22161_c0_g1_i1	72	38	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3273_c0_g1_i1	136	76	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1362_c0_g1_i14	0	0	392	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN25014_c0_g1_i1	0	0	1609	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN26893_c0_g1_i1	13	15	76	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN745_c3_g1_i2	150	631	188	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4621_c0_g1_i2	0	2	371	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN26764_c0_g1_i14	80	29	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN24781_c0_g1_i1	0	0	525	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN57_c0_g3_i1	0	0	3098	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9434_c2_g1_i2	78	29	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN16766_c0_g1_i1	50	25	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1495_c0_g1_i4	128	77	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1291_c0_g1_i2	36	19	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN22251_c0_g1_i1	108	61	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1501_c0_g1_i17	0	0	1194	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3956_c0_g1_i1	39	59	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN92_c0_g1_i3	195	107	31	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN839_c0_g1_i3	41	28	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN694_c0_g1_i1	180	165	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9807_c0_g1_i1	11690	14299	2574	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN987_c0_g1_i1	50	70	52	1	sp	Q2KI84	SYHC_BOVIN	61.7	459	173	2	423	1793	46	503	3.1e-160	567.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9060_c0_g1_i10	83	66	2018	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4970_c0_g1_i3	0	0	64	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN145_c0_g1_i2	232	156	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN35_c1_g1_i2	10	58	32	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8892_c0_g1_i2	0	1	361	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN22260_c0_g1_i1	23345	10277	1151	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN671_c0_g1_i24	0	0	194	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3784_c0_g1_i1	53	37	0	1	sp	Q9VX98	DENR_DROME	65.5	177	53	2	174	701	19	188	1.7e-49	198	DENR_DROME	reviewed	Density-regulated protein homolog	DENR CG9099	Drosophila melanogaster (Fruit fly)	189	ecdysone receptor-mediated signaling pathway [GO:0035076]; formation of translation preinitiation complex [GO:0001731]; IRES-dependent translational initiation [GO:0002192]; positive regulation of cell proliferation [GO:0008284]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of translational initiation [GO:0045948]; translation reinitiation [GO:0002188]	protein complex [GO:0043234]; translation initiation complex [GO:0070992]	mRNA binding [GO:0003729]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]	protein complex [GO:0043234]; translation initiation complex [GO:0070992]; mRNA binding [GO:0003729]; ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]; ecdysone receptor-mediated signaling pathway [GO:0035076]; formation of translation preinitiation complex [GO:0001731]; IRES-dependent translational initiation [GO:0002192]; positive regulation of cell proliferation [GO:0008284]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of translational initiation [GO:0045948]; translation reinitiation [GO:0002188]	GO:0001731; GO:0002188; GO:0002192; GO:0003729; GO:0003743; GO:0008284; GO:0035076; GO:0043022; GO:0043234; GO:0045948; GO:0046628; GO:0070992
TRINITY_DN11524_c0_g1_i2	0	0	2279	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11036_c6_g4_i1	3	2	469	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12998_c0_g1_i1	437	1205	62	1	sp	Q8L7L1	SPHK1_ARATH	30.1	319	197	4	436	1317	115	432	2.2e-36	155.6	SPHK1_ARATH	reviewed	Sphingosine kinase 1 (EC 2.7.1.91)	SPHK1 At4g21540 F18E5.160	Arabidopsis thaliana (Mouse-ear cress)	485	cellular response to abscisic acid stimulus [GO:0071215]; response to abscisic acid [GO:0009737]; seed germination [GO:0009845]; sphingolipid metabolic process [GO:0006665]	plant-type vacuole membrane [GO:0009705]; vacuole [GO:0005773]	ATP binding [GO:0005524]; D-erythro-sphingosine kinase activity [GO:0017050]; NAD+ kinase activity [GO:0003951]; sphinganine kinase activity [GO:0008481]	plant-type vacuole membrane [GO:0009705]; vacuole [GO:0005773]; ATP binding [GO:0005524]; D-erythro-sphingosine kinase activity [GO:0017050]; NAD+ kinase activity [GO:0003951]; sphinganine kinase activity [GO:0008481]; cellular response to abscisic acid stimulus [GO:0071215]; response to abscisic acid [GO:0009737]; seed germination [GO:0009845]; sphingolipid metabolic process [GO:0006665]	GO:0003951; GO:0005524; GO:0005773; GO:0006665; GO:0008481; GO:0009705; GO:0009737; GO:0009845; GO:0017050; GO:0071215
TRINITY_DN7121_c0_g1_i1	566	179	82	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7370_c1_g1_i1	233	106	0	1	sp	B0C1B5	PROB_ACAM1	43.3	386	197	10	68	1207	1	370	4.1e-75	284.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN6922_c0_g1_i1	35	23	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN256_c0_g1_i1	113	56	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4872_c0_g1_i2	117	66	138	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN0_c3_g1_i5	1737	1623	97420	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11040_c0_g1_i1	0	1	967	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN91_c0_g1_i2	18	25	64	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1536_c0_g2_i1	0	0	88	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN22068_c0_g1_i1	40	52	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2447_c1_g1_i10	3248	4896	509	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN136_c0_g1_i1	355	215	0	1	sp	Q9C505	IF5A3_ARATH	56.9	160	63	3	45	524	1	154	2.9e-45	184.5	IF5A3_ARATH	reviewed	Eukaryotic translation initiation factor 5A-3 (AtELF5A-3) (eIF-5A-3)	ELF5A-3 At1g69410 F10D13.8 F23O10.2	Arabidopsis thaliana (Mouse-ear cress)	158	positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]		ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]	ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]	GO:0003743; GO:0003746; GO:0006452; GO:0043022; GO:0045901; GO:0045905
TRINITY_DN723_c0_g1_i3	549	338	0	1	sp	P42519	STAR_DROME	33.9	127	77	3	355	723	423	546	2.7e-15	84.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN26762_c1_g1_i1	4388	3688	48254	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3184_c0_g1_i4	0	0	240	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11407_c1_g1_i1	93	29	805	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7199_c0_g1_i5	1573	1418	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5897_c0_g1_i1	35	24	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2340_c0_g1_i2	114	103	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN7301_c0_g1_i1	745	600	96	1	sp	Q8VD46	ASZ1_MOUSE	29	138	79	2	96	452	83	220	8.8e-09	62.8	ASZ1_MOUSE	reviewed	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (Germ cell-specific ankyrin, SAM and basic leucine zipper domain-containing protein)	Asz1 Gasz	Mus musculus (Mouse)	475	DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; male meiotic nuclear division [GO:0007140]; multicellular organism development [GO:0007275]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; pi-body [GO:0071546]	signal transducer activity [GO:0004871]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; pi-body [GO:0071546]; signal transducer activity [GO:0004871]; DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; male meiotic nuclear division [GO:0007140]; multicellular organism development [GO:0007275]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283]	GO:0004871; GO:0005737; GO:0005829; GO:0007140; GO:0007275; GO:0007281; GO:0007283; GO:0031047; GO:0034587; GO:0043046; GO:0071546
TRINITY_DN190_c0_g1_i2	61	130	9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN312_c0_g1_i1	1143	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4723_c0_g1_i1	272	557	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2131_c0_g1_i1	34	33	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3384_c0_g1_i1	339	128	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN25155_c37_g1_i1	10513	8027	3769	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1726_c0_g1_i1	55	42	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN178_c2_g1_i1	50	100	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN17246_c0_g1_i1	26	69	0	1	sp	Q9VTJ8	TIM14_DROME	56	116	51	0	132	479	1	116	4.2e-32	139.8	TIM14_DROME	reviewed	Mitochondrial import inner membrane translocase subunit TIM14	Tim14 CG7394	Drosophila melanogaster (Fruit fly)	118	protein import into mitochondrial matrix [GO:0030150]	integral component of membrane [GO:0016021]; mitochondrial inner membrane presequence translocase complex [GO:0005744]; presequence translocase-associated import motor [GO:0001405]	ATPase activator activity [GO:0001671]	integral component of membrane [GO:0016021]; mitochondrial inner membrane presequence translocase complex [GO:0005744]; presequence translocase-associated import motor [GO:0001405]; ATPase activator activity [GO:0001671]; protein import into mitochondrial matrix [GO:0030150]	GO:0001405; GO:0001671; GO:0005744; GO:0016021; GO:0030150
TRINITY_DN2030_c0_g1_i2	0	1	181	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN120_c0_g1_i1	15	42	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1732_c0_g1_i1	175	156	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1304_c0_g2_i9	29	32	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4934_c0_g1_i1	238	169	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN675_c0_g2_i1	47	28	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN16250_c0_g2_i1	7	0	1106	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1258_c0_g1_i1	25	37	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5214_c0_g1_i1	38	18	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8231_c0_g1_i3	37	39	0	1	sp	Q5GI04	HIR1_CAPAN	52.2	276	131	1	107	931	1	276	3.1e-75	283.9	HIR1_CAPAN	reviewed	Hypersensitive-induced reaction 1 protein (CaHIR1) (LRR1-interacting protein 3) (CaLRRIP3)	HIR1 LRRIP3	Capsicum annuum (Bell pepper)	285					
TRINITY_DN1476_c0_g1_i1	19	32	20	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4477_c0_g1_i1	134	73	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN789_c0_g1_i1	152	94	37	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN22281_c0_g1_i1	3	7	46	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1455_c0_g1_i1	8	73	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1092_c1_g1_i1	26	34	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1703_c0_g1_i7	2	0	173	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN401_c0_g1_i2	0	0	151	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1007_c0_g1_i1	322	380	213	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN9046_c0_g1_i5	0	0	156	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2510_c0_g1_i1	125	79	101	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2767_c0_g1_i19	1	3	201	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN11634_c0_g2_i2	1815	709	196	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN5254_c0_g1_i1	75	37	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1209_c0_g1_i1	70	55	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3837_c0_g2_i1	273	98	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1894_c0_g1_i1	20	101	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN3605_c0_g1_i1	28	48	55	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2284_c0_g1_i1	106	128	124	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1536_c0_g3_i1	24	35	22793	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN23568_c0_g1_i1	0	0	933	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN843_c0_g1_i2	104	56	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN937_c0_g2_i3	68	46	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN169_c1_g1_i1	63	59	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2889_c2_g1_i1	402	577	134	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN8336_c0_g1_i1	129	268	108	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1568_c4_g1_i1	201	105	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2492_c0_g1_i2	13	79	30	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN484_c0_g2_i1	33	51	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN12398_c0_g1_i1	515	310	47	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN28093_c0_g1_i1	35	36	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN4048_c0_g1_i1	0	2	67	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2121_c0_g1_i1	291	123	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2189_c0_g1_i1	934	1443	1066	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1411_c0_g1_i1	63	21	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN2373_c0_g1_i18	0	1	1596	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
